Manifestação;;;;;;;;;;;;;;;;;;;;;;;;Resposta;;;;;;;;;
Situação;NUP;Tipo;Registrado Por;Possui Denúncia de Descumprim.;Assunto;Subassunto;Tag;Canal de Entrada;;Data;Data de Abertura;Prazo de Resposta;Data de Encaminhamento por outro Órgão;Qtde. Total de Encaminhamento(s) por outro Órgão;Esfera;Serviço Federal;"Serviço Não Federal
";Outro Serviço;Órgão Destinatário;Órgão de Interesse;Uf do Local do Fato;Município do Local do Fato;Modo de Resposta;"Data da 1ª Resp.
Interm.";Data Primeiro Pedido Complement.;Data Pedido Consent.;Situação Pedido Consent.;"Respondente
";"Data 
Resp. Concl.";Área Responsável Resp. Concl.;Área Responsável 2;Restrição de Conteúdo LAI;Campos Adicionais
Arquivada;25072015108202541;Reclamação;Cidadão;Não;Agente Público;;;Internet;;01/04/2025;01/04/2025;;;0;Federal;;;;ANVISA – Agência Nacional de Vigilância Sanitária;;PR;Francisco Beltrão;Pelo sistema (com avisos por email);;10/04/2025;;Em aberto;;;PAFRE;;;
Concluída;25072015119202521;Solicitação;Cidadão;Não;Atendimento;Morosidade;;Internet;;01/04/2025;01/04/2025;05/05/2025;;0;Federal;;;;ANVISA – Agência Nacional de Vigilância Sanitária;;SP;Santa Bárbara d'Oeste;Pelo sistema (com avisos por email);;;;Em aberto;RICARDO ANDRADE NASCIMENTO;08/04/2025;CFMED;;;
Concluída;25072015123202599;Solicitação;Cidadão;Não;Defesa e vigilância sanitária;;;Internet;;01/04/2025;01/04/2025;05/05/2025;;0;Federal;;;;ANVISA – Agência Nacional de Vigilância Sanitária;;;;Pelo sistema (com avisos por email);;;;Em aberto;SUZANA BEATRIZ ANTUNES FLORES;11/04/2025;GEMAT;GEMAT;;
Concluída;25072015125202588;Solicitação;Cidadão;Não;Defesa e vigilância sanitária;Autorização de Funcionamento de Empresas - Morosidade;;Internet;;01/04/2025;01/04/2025;05/05/2025;;0;Federal;;;;ANVISA – Agência Nacional de Vigilância Sanitária;;DF;Brasília;Pelo sistema (com avisos por email);;;;Em aberto;SUZANA BEATRIZ ANTUNES FLORES;23/04/2025;OUVID;;;
Concluída;25072015128202511;Solicitação;;Não;Defesa e vigilância sanitária;Autorização de Funcionamento de Empresas - Morosidade;;E-mail;;01/04/2025;01/04/2025;04/06/2025;;0;Federal;;;;ANVISA – Agência Nacional de Vigilância Sanitária;;;;Pelo sistema (com avisos por email);;;;Em aberto;SUZANA BEATRIZ ANTUNES FLORES;07/05/2025;PAFRE;;;
Concluída;25072015135202513;Comunicação;Anônimo;Não;Defesa e vigilância sanitária;Produtos para saúde - Outros;;Internet;;01/04/2025;01/04/2025;05/05/2025;;0;Federal;;;;ANVISA – Agência Nacional de Vigilância Sanitária;;RJ;Rio de Janeiro;Pelo sistema (com avisos por email);;;;Em aberto;RICARDO ANDRADE NASCIMENTO;10/04/2025;OUVID;;;
Concluída;25072015148202592;Denúncia;Cidadão;Não;Defesa e vigilância sanitária;;;Internet;;01/04/2025;01/04/2025;05/05/2025;;0;Federal;;;;ANVISA – Agência Nacional de Vigilância Sanitária;;SP;Itapecerica da Serra;Pelo sistema (com avisos por email);;09/04/2025;;Em aberto;PAULO AUGUSTO LEMOS DE SOUZA;17/04/2025;GRECS;;;
Concluída;25072015155202594;Reclamação;Cidadão;Não;Defesa e vigilância sanitária;Cosméticos - Queixa técnica/Reação adversa;;Internet;;01/04/2025;01/04/2025;05/05/2025;;0;Federal;;;;ANVISA – Agência Nacional de Vigilância Sanitária;;SP;Cotia;Pelo sistema (com avisos por email);;;;Em aberto;SUZANA BEATRIZ ANTUNES FLORES;03/04/2025;OUVID;;;
Concluída;25072015174202511;Comunicação;Anônimo;Não;Defesa e vigilância sanitária;;;Internet;;01/04/2025;01/04/2025;05/05/2025;;0;Federal;;;;ANVISA – Agência Nacional de Vigilância Sanitária;;RS;Rio Grande;Pelo sistema (com avisos por email);;;;Em aberto;SUZANA BEATRIZ ANTUNES FLORES;23/04/2025;GGTPS;;;
Concluída;25072015181202512;Denúncia;Cidadão;Não;Defesa e vigilância sanitária;;;Internet;;01/04/2025;01/04/2025;07/05/2025;;0;Federal;;;;ANVISA – Agência Nacional de Vigilância Sanitária;;GO;Senador Canedo;Pelo sistema (com avisos por email);;09/04/2025;;Em aberto;SUZANA BEATRIZ ANTUNES FLORES;29/04/2025;GCPAF;GGPAF;;
Concluída;25072015184202556;Comunicação;Anônimo;Não;Defesa e vigilância sanitária;Medicamento - Irregularidades;;Internet;;01/04/2025;01/04/2025;05/05/2025;;0;Federal;;;;ANVISA – Agência Nacional de Vigilância Sanitária;;SP;São Paulo;Pelo sistema (com avisos por email);;;;Em aberto;SERGIO OTAVIO ALMEIDA DOS SANTOS;11/04/2025;OUVID;;;
Concluída;25072015185202509;Denúncia;Cidadão;Não;Redes Sociais;;;Internet;;01/04/2025;01/04/2025;05/05/2025;;0;Federal;;;;ANVISA – Agência Nacional de Vigilância Sanitária;;;;Pelo sistema (com avisos por email);;;;Em aberto;SUZANA BEATRIZ ANTUNES FLORES;09/04/2025;CCOSM;;;
Concluída;25072015186202545;Comunicação;Anônimo;Não;Defesa e vigilância sanitária;Alimentos - Irregularidades;;Internet;;01/04/2025;01/04/2025;05/05/2025;;0;Federal;;;;ANVISA – Agência Nacional de Vigilância Sanitária;;SP;São Paulo;Pelo sistema (com avisos por email);;;;Em aberto;SUZANA BEATRIZ ANTUNES FLORES;09/04/2025;PAFRE;;;
Concluída;25072015190202511;Reclamação;Cidadão;Não;Defesa e vigilância sanitária;Canabidiol - Morosidade de importação;;Internet;;01/04/2025;01/04/2025;05/05/2025;;0;Federal;;;;ANVISA – Agência Nacional de Vigilância Sanitária;;SP;São Paulo;Pelo sistema (com avisos por email);;;;Em aberto;SERGIO OTAVIO ALMEIDA DOS SANTOS;10/04/2025;OUVID;;;
Concluída;25072015199202514;Reclamação;Cidadão;Não;Defesa e vigilância sanitária;Importação - Remessa expressa e postal;;Internet;;01/04/2025;01/04/2025;05/05/2025;;0;Federal;;;;ANVISA – Agência Nacional de Vigilância Sanitária;;SP;Valinhos;Pelo sistema (com avisos por email);;;;Em aberto;RICARDO ANDRADE NASCIMENTO;04/04/2025;COVIG;;;
Concluída;25072015205202533;Solicitação;Cidadão;Não;Defesa e vigilância sanitária;Importação - Licença de Importação - Produtos para a saúde;;Internet;;01/04/2025;01/04/2025;05/05/2025;;0;Federal;;;;ANVISA – Agência Nacional de Vigilância Sanitária;;GO;Goiânia;Pelo sistema (com avisos por email);;;;Em aberto;SERGIO OTAVIO ALMEIDA DOS SANTOS;24/04/2025;CCOSM;;;
Concluída;25072015208202577;Comunicação;Anônimo;Não;Defesa e vigilância sanitária;Medicamento - Irregularidades;;Internet;;01/04/2025;01/04/2025;05/05/2025;;0;Federal;;;;ANVISA – Agência Nacional de Vigilância Sanitária;;CE;Fortaleza;Pelo sistema (com avisos por email);;;;Em aberto;RICARDO ANDRADE NASCIMENTO;10/04/2025;GPCON;;;
Concluída;25072015210202546;Reclamação;Cidadão;Não;Atendimento;;;Internet;;01/04/2025;01/04/2025;05/05/2025;;0;Federal;;;;ANVISA – Agência Nacional de Vigilância Sanitária;;SP;São Paulo;Pelo sistema (com avisos por email);;;;Em aberto;RICARDO ANDRADE NASCIMENTO;02/04/2025;GEGAR;;;
Concluída;25072015212202535;Solicitação;Cidadão;Não;Serviços e Sistemas;Outros;;Internet;;02/04/2025;02/04/2025;05/05/2025;;0;Federal;;;;ANVISA – Agência Nacional de Vigilância Sanitária;;PE;Custódia;Pelo sistema (com avisos por email);;;;Em aberto;SERGIO OTAVIO ALMEIDA DOS SANTOS;17/04/2025;GEMAT;;;
Concluída;25072015279202570;Reclamação;Cidadão;Não;Defesa e vigilância sanitária;Importação - Remessa expressa e postal;;Internet;;02/04/2025;02/04/2025;05/05/2025;;0;Federal;;;;ANVISA – Agência Nacional de Vigilância Sanitária;;SP;Valinhos;Pelo sistema (com avisos por email);;;;Em aberto;SERGIO OTAVIO ALMEIDA DOS SANTOS;03/04/2025;COAFE;COAFE;;
Concluída;25072015283202538;Solicitação;Cidadão;Não;Defesa e vigilância sanitária;Saneantes - Outros;;Internet;;02/04/2025;02/04/2025;05/05/2025;;0;Federal;;;;ANVISA – Agência Nacional de Vigilância Sanitária;;SP;Marília;Pelo sistema (com avisos por email);;;;Em aberto;SERGIO OTAVIO ALMEIDA DOS SANTOS;04/04/2025;COAFE;;;
Concluída;25072015284202582;Reclamação;Cidadão;Não;Defesa e vigilância sanitária;;;Internet;;02/04/2025;02/04/2025;04/06/2025;;0;Federal;;;;ANVISA – Agência Nacional de Vigilância Sanitária;;GO;Aparecida de Goiânia;Pelo sistema (com avisos por email);;;;Em aberto;SUZANA BEATRIZ ANTUNES FLORES;14/05/2025;COAFE;;;
Concluída;25072015291202584;Denúncia;Cidadão;Não;Defesa e vigilância sanitária;;;Internet;;02/04/2025;02/04/2025;05/05/2025;;0;Federal;;;;ANVISA – Agência Nacional de Vigilância Sanitária;;;;Pelo sistema (com avisos por email);;;;Em aberto;RICARDO ANDRADE NASCIMENTO;17/04/2025;GETEC;GEVIT;;
Concluída;25072015297202551;Comunicação;Anônimo;Não;Defesa e vigilância sanitária;Medicamento - Irregularidades;;Internet;;02/04/2025;02/04/2025;05/05/2025;;0;Federal;;;;ANVISA – Agência Nacional de Vigilância Sanitária;;RJ;Rio de Janeiro;Pelo sistema (com avisos por email);;;;Em aberto;SERGIO OTAVIO ALMEIDA DOS SANTOS;14/04/2025;COISC;COISC;;
Arquivada;25072015298202504;Solicitação;Cidadão;Não;Defesa e vigilância sanitária;;;Internet;;02/04/2025;02/04/2025;;;0;Federal;;;;ANVISA – Agência Nacional de Vigilância Sanitária;;SC;Chapecó;Pelo sistema (com avisos por email);;02/04/2025;;Em aberto;;;OUVID;;;
Concluída;25072015301202581;Denúncia;Cidadão;Não;Defesa e vigilância sanitária;Alimentos - Irregularidades;;Internet;;02/04/2025;02/04/2025;05/05/2025;;0;Federal;;;;ANVISA – Agência Nacional de Vigilância Sanitária;;SP;Campinas;Pelo sistema (com avisos por email);;;;Em aberto;SERGIO OTAVIO ALMEIDA DOS SANTOS;30/04/2025;CFMED;CFMED;;
Concluída;25072015314202551;Solicitação;Cidadão;Não;Certidões e Declarações;;;Internet;;02/04/2025;02/04/2025;05/05/2025;;0;Federal;;;;ANVISA – Agência Nacional de Vigilância Sanitária;;;;Pelo sistema (com avisos por email);;;;Em aberto;SUZANA BEATRIZ ANTUNES FLORES;11/04/2025;CFMED;;;
Concluída;25072015316202540;Solicitação;Cidadão;Não;Defesa e vigilância sanitária;Medicamento - Certificação CBPF;;Internet;;02/04/2025;02/04/2025;05/05/2025;;0;Federal;;;;ANVISA – Agência Nacional de Vigilância Sanitária;;SE;Laranjeiras;Pelo sistema (com avisos por email);;;;Em aberto;SERGIO OTAVIO ALMEIDA DOS SANTOS;14/04/2025;CFMED;;;
Concluída;25072015317202594;Reclamação;Cidadão;Não;Defesa e vigilância sanitária;;;Internet;;02/04/2025;02/04/2025;04/06/2025;;0;Federal;;;;ANVISA – Agência Nacional de Vigilância Sanitária;;RJ;Rio de Janeiro;Pelo sistema (com avisos por email);;;;Em aberto;SUZANA BEATRIZ ANTUNES FLORES;29/05/2025;CCTAB;;;
Concluída;25072015327202520;Denúncia;Cidadão;Não;Defesa e vigilância sanitária;Medicamento - Irregularidades;;Internet;;02/04/2025;02/04/2025;05/05/2025;;0;Federal;;;;ANVISA – Agência Nacional de Vigilância Sanitária;;SP;São Paulo;Pelo sistema (com avisos por email);;;;Em aberto;RICARDO ANDRADE NASCIMENTO;11/04/2025;COISC;;;
Concluída;25072015331202598;Reclamação;Cidadão;Não;Certidões e Declarações;;;Internet;;02/04/2025;02/04/2025;05/05/2025;;0;Federal;;;;ANVISA – Agência Nacional de Vigilância Sanitária;;SC;Pomerode;Pelo sistema (com avisos por email);;;;Em aberto;SUZANA BEATRIZ ANTUNES FLORES;30/04/2025;GPCON;;;
Concluída;25072015334202521;Reclamação;Cidadão;Não;Defesa e vigilância sanitária;Cosméticos - Queixa técnica/Reação adversa;;Internet;;02/04/2025;02/04/2025;05/05/2025;;0;Federal;;;;ANVISA – Agência Nacional de Vigilância Sanitária;;RS;Porto Alegre;Pelo sistema (com avisos por email);;;;Em aberto;RICARDO ANDRADE NASCIMENTO;03/04/2025;PAFRE;;;
Concluída;25072015352202511;Solicitação;Cidadão;Não;Defesa e vigilância sanitária;Cadastro de empresa/Responsável Técnico;;Internet;;02/04/2025;02/04/2025;05/05/2025;;0;Federal;;;;ANVISA – Agência Nacional de Vigilância Sanitária;;MA;São Luís;Pelo sistema (com avisos por email);;;;Em aberto;RICARDO ANDRADE NASCIMENTO;14/04/2025;PAFPS;;;
Concluída;25072015375202518;Reclamação;Cidadão;Não;Atendimento;;;Internet;;02/04/2025;02/04/2025;05/05/2025;;0;Federal;;;;ANVISA – Agência Nacional de Vigilância Sanitária;;SP;Adamantina;Pelo sistema (com avisos por email);;;;Em aberto;RICARDO ANDRADE NASCIMENTO;02/04/2025;CFMED;;;
Concluída;25072015378202551;Reclamação;Cidadão;Não;Atendimento;;;Internet;;02/04/2025;02/04/2025;05/05/2025;;0;Federal;;;;ANVISA – Agência Nacional de Vigilância Sanitária;;SC;Camboriú;Pelo sistema (com avisos por email);;;;Em aberto;RICARDO ANDRADE NASCIMENTO;03/04/2025;OUVID;;;
Arquivada;25072015380202521;Denúncia;;Não;Defesa e vigilância sanitária;Cosméticos - Irregularidades;;Outros;;02/04/2025;02/04/2025;;;0;Federal;;;;ANVISA – Agência Nacional de Vigilância Sanitária;;;;Pelo sistema (com avisos por email);;10/04/2025;;Em aberto;;;COAFE;;;
Concluída;25072015383202564;Denúncia;;Não;Defesa e vigilância sanitária;Alimentos - Irregularidades;;Outros;;02/04/2025;02/04/2025;05/05/2025;;0;Federal;;;;ANVISA – Agência Nacional de Vigilância Sanitária;;;;Pelo sistema (com avisos por email);;;;Em aberto;SUZANA BEATRIZ ANTUNES FLORES;09/04/2025;PAFRE;;;
Concluída;25072015384202517;Solicitação;Cidadão;Não;Serviços e Sistemas;;;Internet;;02/04/2025;02/04/2025;05/05/2025;;0;Federal;;;;ANVISA – Agência Nacional de Vigilância Sanitária;;DF;Brasília;Pelo sistema (com avisos por email);;;;Em aberto;SUZANA BEATRIZ ANTUNES FLORES;11/04/2025;COSAN;;;
Concluída;25072015389202531;Denúncia;Cidadão;Não;Defesa e vigilância sanitária;Produtos para saúde - Irregularidades;;Internet;;02/04/2025;02/04/2025;23/05/2025;;0;Federal;;;;ANVISA – Agência Nacional de Vigilância Sanitária;;SP;São Paulo;Pelo sistema (com avisos por email);;09/04/2025;;Em aberto;RICARDO ANDRADE NASCIMENTO;19/05/2025;COAFE;;;
Arquivada;25072015415202521;Reclamação;Cidadão;Não;Defesa e vigilância sanitária;;;Internet;;02/04/2025;02/04/2025;;;0;Federal;;;;ANVISA – Agência Nacional de Vigilância Sanitária;;;;Pelo sistema (com avisos por email);;03/04/2025;;Em aberto;;;COAFE;;;
Concluída;25072015425202567;Solicitação;Cidadão;Não;Certidões e Declarações;;;Internet;;02/04/2025;02/04/2025;05/05/2025;;0;Federal;;;;ANVISA – Agência Nacional de Vigilância Sanitária;;MG;Juiz de Fora;Pelo sistema (com avisos por email);;;;Em aberto;RICARDO ANDRADE NASCIMENTO;17/04/2025;GEMAT;GEMAT;;
Concluída;25072015449202516;Reclamação;Cidadão;Não;Defesa e vigilância sanitária;Medicamento - Outros;;Internet;;02/04/2025;02/04/2025;05/05/2025;;0;Federal;;;;ANVISA – Agência Nacional de Vigilância Sanitária;;;;Pelo sistema (com avisos por email);;;;Em aberto;SERGIO OTAVIO ALMEIDA DOS SANTOS;04/04/2025;CFMED;;;
Concluída;25072015450202541;Reclamação;Cidadão;Não;Defesa e vigilância sanitária;;;Internet;;02/04/2025;02/04/2025;05/05/2025;;0;Federal;;;;ANVISA – Agência Nacional de Vigilância Sanitária;;DF;Brasília;Pelo sistema (com avisos por email);;;;Em aberto;SUZANA BEATRIZ ANTUNES FLORES;30/04/2025;OUVID;;;
Concluída;01217003346202553;Comunicação;Anônimo;Não;Defesa e vigilância sanitária;Serviços de saúde - Fiscalização de hospital/clínica médica;;Internet;;03/04/2025;03/04/2025;07/05/2025;07/04/2025;1;Federal;;;;ANVISA – Agência Nacional de Vigilância Sanitária;;RS;Rio Pardo;Pelo sistema (com avisos por email);;;;Em aberto;PAULO AUGUSTO LEMOS DE SOUZA;06/05/2025;COALI;;;
Concluída;25072015509202509;Denúncia;Cidadão;Não;Defesa e vigilância sanitária;;;Internet;;03/04/2025;03/04/2025;05/05/2025;;0;Federal;;;;ANVISA – Agência Nacional de Vigilância Sanitária;;SP;São Paulo;Pelo sistema (com avisos por email);;;;Em aberto;SUZANA BEATRIZ ANTUNES FLORES;06/05/2025;CCMED;;;
Concluída;25072015512202514;Reclamação;Cidadão;Não;Defesa e vigilância sanitária;;;Internet;;03/04/2025;03/04/2025;05/05/2025;03/04/2025;1;Federal;;;;ANVISA – Agência Nacional de Vigilância Sanitária;;SP;Votorantim;Pelo sistema (com avisos por email);;;;Em aberto;SUZANA BEATRIZ ANTUNES FLORES;04/04/2025;CCMED;;;
Concluída;25072015525202593;Reclamação;Cidadão;Não;Defesa e vigilância sanitária;Cosméticos - Queixa técnica/Reação adversa;;Internet;;03/04/2025;03/04/2025;05/05/2025;;0;Federal;;;;ANVISA – Agência Nacional de Vigilância Sanitária;;SC;São José do Cedro;Pelo sistema (com avisos por email);;;;Em aberto;SERGIO OTAVIO ALMEIDA DOS SANTOS;03/04/2025;COAFE;;;
Concluída;25072015526202538;Solicitação;Cidadão;Não;Atendimento;;;Internet;;03/04/2025;03/04/2025;05/05/2025;;0;Federal;;;;ANVISA – Agência Nacional de Vigilância Sanitária;;MS;Campo Grande;Pelo sistema (com avisos por email);;;;Em aberto;RICARDO ANDRADE NASCIMENTO;03/04/2025;COAFE;;;
Concluída;25072015529202571;Solicitação;Cidadão;Não;Informações processuais;;;Internet;;03/04/2025;03/04/2025;05/05/2025;;0;Federal;;;;ANVISA – Agência Nacional de Vigilância Sanitária;;SP;Mauá;Pelo sistema (com avisos por email);;;;Em aberto;SUZANA BEATRIZ ANTUNES FLORES;07/04/2025;CFMED;;;
Concluída;25072015624202575;Reclamação;Cidadão;Não;Serviços e Sistemas;;;Internet;;03/04/2025;03/04/2025;05/05/2025;;0;Federal;;;;ANVISA – Agência Nacional de Vigilância Sanitária;;DF;Brasília;Pelo sistema (com avisos por email);;;;Em aberto;SUZANA BEATRIZ ANTUNES FLORES;05/05/2025;GGTPS;;;
Concluída;25072015625202510;Reclamação;Cidadão;Não;Atendimento;Morosidade;;Internet;;03/04/2025;03/04/2025;05/05/2025;;0;Federal;;;;ANVISA – Agência Nacional de Vigilância Sanitária;;;;Pelo sistema (com avisos por email);;;;Em aberto;SERGIO OTAVIO ALMEIDA DOS SANTOS;10/04/2025;OUVID;;;
Concluída;25072015635202555;Denúncia;Cidadão;Não;Certidões e Declarações;CIVP - Outros;;Internet;;03/04/2025;03/04/2025;05/05/2025;;0;Federal;;;;ANVISA – Agência Nacional de Vigilância Sanitária;;SP;Guarujá;Pelo sistema (com avisos por email);;;;Em aberto;SERGIO OTAVIO ALMEIDA DOS SANTOS;09/04/2025;CGTAI;CGTAI;;
Concluída;25072015638202599;Reclamação;Cidadão;Não;Defesa e vigilância sanitária;Produtos para saúde - Outros;;Internet;;03/04/2025;03/04/2025;05/05/2025;;0;Federal;;;;ANVISA – Agência Nacional de Vigilância Sanitária;;RJ;Rio de Janeiro;Pelo sistema (com avisos por email);;;;Em aberto;SERGIO OTAVIO ALMEIDA DOS SANTOS;17/04/2025;OUVID;;;
Concluída;25072015645202591;Reclamação;Cidadão;Não;Defesa e vigilância sanitária;Produtos para saúde - Outros;;Internet;;03/04/2025;03/04/2025;05/05/2025;;0;Federal;;;;ANVISA – Agência Nacional de Vigilância Sanitária;;RJ;Rio de Janeiro;Pelo sistema (com avisos por email);;;;Em aberto;SUZANA BEATRIZ ANTUNES FLORES;23/04/2025;OUVID;;;
Concluída;25072015648202524;Solicitação;Cidadão;Não;Certidões e Declarações;;;Internet;;03/04/2025;03/04/2025;05/05/2025;;0;Federal;;;;ANVISA – Agência Nacional de Vigilância Sanitária;;BA;Lauro de Freitas;Pelo sistema (com avisos por email);;;;Em aberto;SUZANA BEATRIZ ANTUNES FLORES;08/04/2025;COISC;;;
Concluída;25072015652202592;Solicitação;Cidadão;Não;Certidões e Declarações;;;Internet;;03/04/2025;03/04/2025;05/05/2025;;0;Federal;;;;ANVISA – Agência Nacional de Vigilância Sanitária;;BA;Lauro de Freitas;Pelo sistema (com avisos por email);;;;Em aberto;SUZANA BEATRIZ ANTUNES FLORES;08/04/2025;COALI;;;
Concluída;25072015657202515;Solicitação;Cidadão;Não;Defesa e vigilância sanitária;Importação - Licença de Importação - Produtos para a saúde;;Internet;;03/04/2025;03/04/2025;05/05/2025;;0;Federal;;;;ANVISA – Agência Nacional de Vigilância Sanitária;;SP;São Paulo;Pelo sistema (com avisos por email);;;;Em aberto;SUZANA BEATRIZ ANTUNES FLORES;23/04/2025;GPCON;;;
